210 Event 863227, Run 913, Split 17: Ecm = 3.38, Z = 192.89: E
211 Event 297931, Run 885, Split 26: Ecm = 3.39, Z = 305.98: E
212 Event 1120090, Run 914, Split 19: Ecm = 3.39, Z = 199.53: E
213 Event 1583621, Run 901, Split 8: Ecm = 3.39, Z = 231.04: D
214 Event 64907, Run 893, Split 6: Ecm = 3.39, Z = 209.13: B
215 Event 371885, Run 885, Split 32: Ecm = 3.40, Z = 209.57: E
216 Event 582582, Run 880, Split 8: Ecm = 3.41, Z = 219.95: E
217 Event 57669, Run 893, Split 5: Ecm = 3.41, Z = 185.74: E
218 Event 690170, Run 913, Split 0: Ecm = 3.41, Z = 215.67: D
219 Event 161521, Run 884, Split 13: Ecm = 3.42, Z = 263.39: D
220 Event 731857, Run 889, Split 12: Ecm = 3.43, Z = 239.76: E
221 Event 88941, Run 885, Split 7: Ecm = 3.43, Z = 182.23: D
222 Event 1019222, Run 926, Split 3: Ecm = 3.43, Z = 202.68: E
223 Event 196071, Run 884, Split 16: Ecm = 3.44, Z = 193.15: E
224 Event 1264690, Run 927, Split 10: Ecm = 3.44, Z = 236.92: D
225 Event 236237, Run 909, Split 0: Ecm = 3.44, Z = 192.55: D
226 Event 252754, Run 909, Split 2: Ecm = 3.44, Z = 184.88: D
227 Event 1387139, Run 900, Split 9: Ecm = 3.45, Z = 215.45: A
228 Event 1503762, Run 901, Split 0: Ecm = 3.45, Z = 272.55: B
229 Event 607358, Run 889, Split 0: Ecm = 3.45, Z = 208.74: E
230 Event 1213461, Run 927, Split 5: Ecm = 3.45, Z = 205.58: E
231 Event 1985322, Run 903, Split 4: Ecm = 3.46, Z = 229.99: B
232 Event 338233, Run 884, Split 28: Ecm = 3.46, Z = 205.50: E
233 Event 268674, Run 930, Split 13: Ecm = 3.46, Z = 200.35: E
234 Event 249363, Run 885, Split 21: Ecm = 3.47, Z = 205.30: D
235 Event 6973, Run 893, Split 0: Ecm = 3.47, Z = 183.24: D
236 Event 997967, Run 926, Split 1: Ecm = 3.47, Z = 194.00: E
237 Event 753988, Run 881, Split 3: Ecm = 3.47, Z = 237.09: E
238 Event 605578, Run 889, Split 0: Ecm = 3.49, Z = 206.67: E
239 Event 617517, Run 912, Split 14: Ecm = 3.49, Z = 212.48: E
240 Event 468568, Run 879, Split 30: Ecm = 3.50, Z = 204.82: E
241 Event 766998, Run 881, Split 5: Ecm = 3.50, Z = 214.62: E
242 Event 805048, Run 897, Split 6: Ecm = 3.52, Z = 222.39: D
0 Event 473420, Run 886, Split 0: Ecm = 3.63, Z = 366.12: B
1 Event 280550, Run 885, Split 24: Ecm = 4.65, Z = 347.92: B
2 Event 228230, Run 885, Split 19: Ecm = 4.82, Z = 328.95: B
3 Event 1926289, Run 902, Split 21: Ecm = 3.68, Z = 326.39: B
4 Event 376353, Run 885, Split 33: Ecm = 3.54, Z = 321.93: B
5 Event 246919, Run 922, Split 3: Ecm = 4.07, Z = 320.46: B
6 Event 213420, Run 885, Split 18: Ecm = 4.95, Z = 320.17: B
7 Event 735634, Run 913, Split 5: Ecm = 6.35, Z = 313.07: D
8 Event 110643, Run 893, Split 11: Ecm = 5.34, Z = 309.28: B
9 Event 347875, Run 879, Split 19: Ecm = 4.41, Z = 309.06: B
10 Event 1344285, Run 900, Split 5: Ecm = 4.62, Z = 305.32: B
11 Event 267303, Run 909, Split 3: Ecm = 4.54, Z = 304.76: B
12 Event 1684636, Run 901, Split 18: Ecm = 5.24, Z = 301.91: B
13 Event 1986313, Run 903, Split 4: Ecm = 5.07, Z = 297.04: B
14 Event 966437, Run 898, Split 5: Ecm = 5.03, Z = 291.95: B
15 Event 1659833, Run 901, Split 16: Ecm = 5.78, Z = 290.19: B
16 Event 1828255, Run 902, Split 10: Ecm = 6.11, Z = 287.52: B
17 Event 1232675, Run 927, Split 7: Ecm = 6.88, Z = 284.71: B
18 Event 599187, Run 888, Split 2: Ecm = 5.00, Z = 284.41: B
19 Event 152840, Run 930, Split 1: Ecm = 3.64, Z = 284.26: B
20 Event 205383, Run 930, Split 7: Ecm = 4.00, Z = 281.67: B
21 Event 1113570, Run 926, Split 13: Ecm = 3.72, Z = 280.50: B
22 Event 1175562, Run 899, Split 7: Ecm = 4.52, Z = 280.11: B
23 Event 277391, Run 930, Split 14: Ecm = 3.60, Z = 279.69: E
24 Event 41349, Run 893, Split 3: Ecm = 4.01, Z = 278.78: D
25 Event 773736, Run 889, Split 16: Ecm = 4.17, Z = 277.86: B
26 Event 416350, Run 895, Split 1: Ecm = 6.38, Z = 277.04: B
27 Event 836739, Run 897, Split 10: Ecm = 3.97, Z = 275.99: B
28 Event 44627, Run 893, Split 4: Ecm = 6.90, Z = 275.94: E
29 Event 1810748, Run 902, Split 9: Ecm = 5.14, Z = 275.65: B
30 Event 1065198, Run 926, Split 8: Ecm = 4.18, Z = 274.10: B
31 Event 1863305, Run 902, Split 14: Ecm = 3.95, Z = 273.30: D
32 Event 1452098, Run 900, Split 16: Ecm = 3.75, Z = 272.96: B
33 Event 249937, Run 885, Split 21: Ecm = 6.35, Z = 272.89: D
34 Event 1049902, Run 926, Split 6: Ecm = 3.63, Z = 272.27: E
35 Event 1991096, Run 903, Split 5: Ecm = 4.51, Z = 270.56: E
36 Event 1040892, Run 926, Split 6: Ecm = 4.94, Z = 270.54: E
37 Event 82175, Run 884, Split 6: Ecm = 4.83, Z = 270.05: B
38 Event 469564, Run 879, Split 30: Ecm = 3.93, Z = 269.68: B
39 Event 1075706, Run 914, Split 14: Ecm = 3.68, Z = 269.03: E
40 Event 572329, Run 923, Split 14: Ecm = 5.10, Z = 268.37: B
41 Event 1276984, Run 899, Split 18: Ecm = 4.45, Z = 268.20: E
42 Event 773076, Run 913, Split 8: Ecm = 4.05, Z = 267.87: E
43 Event 376662, Run 894, Split 16: Ecm = 5.70, Z = 266.73: B
44 Event 176347, Run 879, Split 5: Ecm = 4.59, Z = 266.51: E
45 Event 255997, Run 930, Split 11: Ecm = 4.79, Z = 266.26: B
46 Event 420974, Run 885, Split 37: Ecm = 7.03, Z = 265.68: B
47 Event 524668, Run 923, Split 10: Ecm = 3.84, Z = 264.91: B
48 Event 281401, Run 922, Split 6: Ecm = 4.49, Z = 264.91: B
49 Event 25280, Run 918, Split 2: Ecm = 4.38, Z = 264.89: E
50 Event 1448773, Run 900, Split 16: Ecm = 6.76, Z = 264.88: D
51 Event 1145956, Run 926, Split 16: Ecm = 5.90, Z = 264.79: E
52 Event 147251, Run 893, Split 15: Ecm = 6.14, Z = 264.07: E
53 Event 1950589, Run 903, Split 1: Ecm = 4.55, Z = 264.02: B
54 Event 1095835, Run 914, Split 16: Ecm = 4.87, Z = 263.73: D
55 Event 809761, Run 889, Split 19: Ecm = 5.11, Z = 262.50: E
56 Event 866841, Run 913, Split 17: Ecm = 4.76, Z = 260.70: E
57 Event 2894, Run 929, Split 0: Ecm = 4.05, Z = 260.67: E
58 Event 887071, Run 925, Split 8: Ecm = 4.91, Z = 260.47: B
59 Event 603985, Run 889, Split 0: Ecm = 6.02, Z = 260.24: E
60 Event 249256, Run 884, Split 21: Ecm = 4.98, Z = 260.23: B
61 Event 1824539, Run 902, Split 10: Ecm = 4.20, Z = 260.19: B
62 Event 764310, Run 897, Split 2: Ecm = 6.88, Z = 259.79: D
63 Event 241691, Run 894, Split 1: Ecm = 7.72, Z = 259.06: D
64 Event 70766, Run 893, Split 7: Ecm = 4.82, Z = 258.93: D
