212 Event 1731132, Run 772, Split 64: Ecm = 1.91, Z = 260.58: A
213 Event 5040779, Run 830, Split 13: Ecm = 1.91, Z = 247.07: D
214 Event 385227, Run 668, Split 5: Ecm = 1.91, Z = 249.72: D
215 Event 3876137, Run 681, Split 95: Ecm = 1.92, Z = 269.79: A
216 Event 576042, Run 674, Split 38: Ecm = 1.92, Z = 258.74: A
217 Event 3175966, Run 947, Split 13: Ecm = 1.93, Z = 249.21: A
218 Event 577483, Run 661, Split 48: Ecm = 1.93, Z = 328.61: D
219 Event 3210169, Run 825, Split 75: Ecm = 1.93, Z = 235.89: A
220 Event 857035, Run 810, Split 84: Ecm = 1.93, Z = 263.62: B
221 Event 1236126, Run 771, Split 59: Ecm = 1.93, Z = 252.66: A
222 Event 3013319, Run 946, Split 15: Ecm = 1.94, Z = 270.35: B
223 Event 1435113, Run 814, Split 66: Ecm = 1.94, Z = 263.02: D
224 Event 1043482, Run 752, Split 41: Ecm = 1.94, Z = 265.12: A
225 Event 1232509, Run 752, Split 82: Ecm = 1.94, Z = 252.51: A
226 Event 1209091, Run 785, Split 63: Ecm = 1.95, Z = 282.31: E
227 Event 583647, Run 788, Split 27: Ecm = 1.95, Z = 292.46: D
228 Event 1346080, Run 688, Split 76: Ecm = 1.95, Z = 261.29: A
229 Event 758883, Run 845, Split 62: Ecm = 1.95, Z = 253.93: B
230 Event 883207, Run 810, Split 90: Ecm = 1.96, Z = 252.77: F
231 Event 271253, Run 854, Split 58: Ecm = 1.96, Z = 242.02: D
232 Event 3549937, Run 681, Split 29: Ecm = 1.96, Z = 247.79: E
233 Event 521616, Run 850, Split 10: Ecm = 1.96, Z = 263.75: A
234 Event 2451492, Run 943, Split 8: Ecm = 1.97, Z = 271.78: E
235 Event 2113326, Run 754, Split 71: Ecm = 1.97, Z = 298.56: C
236 Event 1074512, Run 842, Split 38: Ecm = 1.97, Z = 324.63: B
237 Event 3254226, Run 680, Split 66: Ecm = 1.97, Z = 296.59: E
238 Event 85512, Run 750, Split 18: Ecm = 1.98, Z = 273.10: E
239 Event 695585, Run 841, Split 56: Ecm = 1.99, Z = 253.26: B
240 Event 240201, Run 760, Split 23: Ecm = 1.99, Z = 257.08: A
241 Event 1246018, Run 790, Split 60: Ecm = 2.00, Z = 337.37: B
242 Event 1474308, Run 791, Split 12: Ecm = 2.00, Z = 228.95: F
243 Event 1004732, Run 785, Split 19: Ecm = 2.00, Z = 257.70: A
244 Event 508715, Run 806, Split 11: Ecm = 2.00, Z = 238.89: D
245 Event 787663, Run 841, Split 75: Ecm = 2.00, Z = 283.67: E
246 Event 43029, Run 666, Split 8: Ecm = 2.01, Z = 313.17: B
247 Event 4430312, Run 683, Split 14: Ecm = 2.02, Z = 312.85: A
248 Event 3954293, Run 682, Split 14: Ecm = 2.02, Z = 302.78: B
249 Event 247103, Run 659, Split 45: Ecm = 2.03, Z = 255.42: F
250 Event 306410, Run 733, Split 54: Ecm = 2.03, Z = 291.08: A
251 Event 92965, Run 712, Split 18: Ecm = 2.03, Z = 281.38: A
252 Event 756646, Run 788, Split 64: Ecm = 2.03, Z = 267.80: C
253 Event 676874, Run 668, Split 65: Ecm = 2.04, Z = 292.04: E
254 Event 1893058, Run 754, Split 22: Ecm = 2.04, Z = 342.78: B
255 Event 70180, Run 705, Split 13: Ecm = 2.04, Z = 318.34: B
256 Event 1496006, Run 772, Split 14: Ecm = 2.04, Z = 335.78: B
257 Event 728187, Run 751, Split 68: Ecm = 2.05, Z = 255.00: D
258 Event 305945, Run 672, Split 62: Ecm = 2.05, Z = 264.02: B
259 Event 1194927, Run 752, Split 74: Ecm = 2.05, Z = 276.74: A
260 Event 612283, Run 674, Split 45: Ecm = 2.05, Z = 249.27: B
261 Event 4056290, Run 827, Split 93: Ecm = 2.05, Z = 267.14: A
262 Event 876184, Run 662, Split 33: Ecm = 2.05, Z = 255.26: A
263 Event 228365, Run 672, Split 46: Ecm = 2.05, Z = 249.21: D
264 Event 2617714, Run 944, Split 8: Ecm = 2.05, Z = 272.00: A
265 Event 165617, Run 659, Split 29: Ecm = 2.05, Z = 259.58: F
266 Event 256388, Run 769, Split 54: Ecm = 2.06, Z = 231.03: A
267 Event 1167737, Run 814, Split 8: Ecm = 2.06, Z = 249.94: A
268 Event 118479, Run 666, Split 24: Ecm = 2.06, Z = 258.86: E
269 Event 532621, Run 668, Split 35: Ecm = 2.06, Z = 220.86: F
270 Event 1729607, Run 815, Split 26: Ecm = 2.07, Z = 330.53: B
271 Event 1534416, Run 791, Split 25: Ecm = 2.07, Z = 329.53: B
272 Event 1735793, Run 772, Split 65: Ecm = 2.07, Z = 264.27: A
273 Event 2852113, Run 679, Split 81: Ecm = 2.07, Z = 260.00: C
274 Event 1072367, Run 771, Split 25: Ecm = 2.07, Z = 260.26: E
275 Event 419218, Run 685, Split 85: Ecm = 2.07, Z = 287.62: E
276 Event 1125807, Run 785, Split 45: Ecm = 2.07, Z = 233.47: A
277 Event 529953, Run 810, Split 13: Ecm = 2.07, Z = 331.94: D
278 Event 123226, Run 769, Split 25: Ecm = 2.07, Z = 248.55: A
